LabelValue,Mean,Min,Max,Variance,Subject,Session,Run,Seg,SoftwareVersions
4.0,1.7947761878980653,1639.0,2807.0,76406.86687148002,P0003,20231005183315,1,T2,8.6.0
5.0,1.7085191744569226,1702.0,2669.0,65294.37572712879,P0003,20231005183315,1,T2,8.6.0
6.0,1.535790514432839,1637.0,2440.0,57329.91420765023,P0003,20231005183315,1,T2,8.6.0
7.0,1.1559397037915107,1285.0,1822.0,13520.398995240692,P0003,20231005183315,1,T2,8.6.0
8.0,0.7398545554186609,697.0,1378.0,14252.642937853048,P0003,20231005183315,1,T2,8.6.0
9.0,0.3158678662547935,256.0,642.0,7322.317249417248,P0003,20231005183315,1,T2,8.6.0
10.0,0.11872106498839746,38.0,372.0,6988.20942140297,P0003,20231005183315,1,T2,8.6.0
11.0,0.08337823079862511,31.0,260.0,2924.3532522474875,P0003,20231005183315,1,T2,8.6.0
12.0,0.10216362075325469,57.0,290.0,4388.760444209414,P0003,20231005183315,1,T2,8.6.0
13.0,0.10969853866034374,28.0,356.0,8923.784633998792,P0003,20231005183315,1,T2,8.6.0
14.0,0.1029476833254351,24.0,355.0,6429.293906810036,P0003,20231005183315,1,T2,8.6.0
1.0,1.7558385600569544,200.0,3751.0,590797.3489177489,P0003,20231005183315,2,T1,8.6.0
2.0,1.896673170121315,297.0,3701.0,485588.6368723103,P0003,20231005183315,2,T1,8.6.0
3.0,1.920676644429134,1077.0,3540.0,278303.91742003703,P0003,20231005183315,2,T1,8.6.0
4.0,1.6703530538731244,595.0,3281.0,388783.4424646781,P0003,20231005183315,2,T1,8.6.0
5.0,1.634882338024248,986.0,3426.0,311123.0237612289,P0003,20231005183315,2,T1,8.6.0
6.0,1.5440309414017974,648.0,3021.0,216007.360451077,P0003,20231005183315,2,T1,8.6.0
7.0,1.2064621328459806,173.0,2523.0,190260.62539843505,P0003,20231005183315,2,T1,8.6.0
8.0,0.8551949312152222,11.0,1761.0,127121.1144533798,P0003,20231005183315,2,T1,8.6.0
9.0,0.6534306005947783,209.0,1512.0,39416.55560682979,P0003,20231005183315,2,T1,8.6.0
10.0,0.3342831926865443,115.0,821.0,13807.600440879867,P0003,20231005183315,2,T1,8.6.0
11.0,0.1804575826542628,60.0,725.0,19096.91913875598,P0003,20231005183315,2,T1,8.6.0
12.0,0.12872660070442526,44.0,447.0,9049.396416678392,P0003,20231005183315,2,T1,8.6.0
13.0,0.10426894328310395,14.0,443.0,8591.726156299841,P0003,20231005183315,2,T1,8.6.0
14.0,0.11472130810910969,25.0,713.0,19451.74057006315,P0003,20231005183315,2,T1,8.6.0
1.0,2.1354963195939693,1987.0,3587.0,71571.49334543211,P0003,20231005183315,2,T2,8.6.0
2.0,2.1170511906371727,2163.0,3173.0,82638.72555043524,P0003,20231005183315,2,T2,8.6.0
3.0,1.9401510083481104,2065.0,2780.0,23699.67857142857,P0003,20231005183315,2,T2,8.6.0
